LAYER  0 | mean=-0.000309 | abs_mean=0.015915 | std=0.019837 | min=-0.051514 | max=0.065918
LAYER  1 | mean=-0.000708 | abs_mean=0.023294 | std=0.031811 | min=-0.298828 | max=0.139648
LAYER  2 | mean=-0.000174 | abs_mean=0.037068 | std=0.048146 | min=-0.425781 | max=0.139648
LAYER  3 | mean=0.001367 | abs_mean=0.038368 | std=0.052031 | min=-0.507812 | max=0.146484
LAYER  4 | mean=-0.002010 | abs_mean=0.037823 | std=0.052753 | min=-0.562500 | max=0.162109
LAYER  5 | mean=-0.001380 | abs_mean=0.036904 | std=0.051717 | min=-0.484375 | max=0.181641
LAYER  6 | mean=-0.000754 | abs_mean=0.037414 | std=0.053412 | min=-0.507812 | max=0.187500
LAYER  7 | mean=-0.000802 | abs_mean=0.042239 | std=0.061431 | min=-0.585938 | max=0.234375
LAYER  8 | mean=-0.000977 | abs_mean=0.035771 | std=0.054838 | min=-0.539062 | max=0.261719
LAYER  9 | mean=-0.001666 | abs_mean=0.033320 | std=0.052464 | min=-0.523438 | max=0.261719
LAYER 10 | mean=-0.001467 | abs_mean=0.033756 | std=0.053254 | min=-0.550781 | max=0.259766
LAYER 11 | mean=-0.001899 | abs_mean=0.036800 | std=0.057143 | min=-0.570312 | max=0.298828
LAYER 12 | mean=-0.002054 | abs_mean=0.038631 | std=0.059076 | min=-0.597656 | max=0.302734
LAYER 13 | mean=-0.001463 | abs_mean=0.041583 | std=0.065106 | min=-0.824219 | max=0.351562
LAYER 14 | mean=-0.002436 | abs_mean=0.047190 | std=0.073152 | min=-0.980469 | max=0.425781
LAYER 15 | mean=-0.000010 | abs_mean=0.061103 | std=0.086764 | min=-0.722656 | max=0.464844
LAYER 16 | mean=-0.001407 | abs_mean=0.078582 | std=0.108433 | min=-0.753906 | max=0.660156
LAYER 17 | mean=-0.002302 | abs_mean=0.085938 | std=0.121885 | min=-1.179688 | max=0.695312
LAYER 18 | mean=-0.004853 | abs_mean=0.092443 | std=0.135134 | min=-1.648438 | max=0.757812
LAYER 19 | mean=-0.003402 | abs_mean=0.098616 | std=0.155465 | min=-2.515625 | max=0.800781
LAYER 20 | mean=-0.003589 | abs_mean=0.120409 | std=0.180481 | min=-2.671875 | max=0.953125
LAYER 21 | mean=-0.007233 | abs_mean=0.132909 | std=0.203958 | min=-3.031250 | max=0.960938
LAYER 22 | mean=-0.005873 | abs_mean=0.166950 | std=0.247397 | min=-3.484375 | max=1.015625
LAYER 23 | mean=-0.005922 | abs_mean=0.191801 | std=0.279450 | min=-4.125000 | max=0.882812
LAYER 24 | mean=0.022048 | abs_mean=2.855969 | std=3.730998 | min=-23.500000 | max=15.687500
