LAYER  0 | mean=-0.000680 | abs_mean=0.018486 | std=0.022935 | min=-0.107849 | max=0.081875
LAYER  1 | mean=0.001061 | abs_mean=0.031504 | std=0.039703 | min=-0.162713 | max=0.260745
LAYER  2 | mean=0.003577 | abs_mean=0.047853 | std=0.060763 | min=-0.211029 | max=0.453640
LAYER  3 | mean=0.003086 | abs_mean=0.064118 | std=0.083299 | min=-0.316619 | max=0.856091
LAYER  4 | mean=0.005459 | abs_mean=0.122997 | std=0.156897 | min=-0.751427 | max=0.828301
LAYER  5 | mean=0.005660 | abs_mean=0.130723 | std=0.166778 | min=-0.815237 | max=0.638440
LAYER  6 | mean=0.006303 | abs_mean=0.135869 | std=0.173990 | min=-0.924848 | max=0.706491
LAYER  7 | mean=0.006101 | abs_mean=0.139253 | std=0.178281 | min=-1.014807 | max=0.740738
LAYER  8 | mean=0.006319 | abs_mean=0.157888 | std=0.202669 | min=-1.141114 | max=0.779438
LAYER  9 | mean=0.006124 | abs_mean=0.160533 | std=0.205388 | min=-1.138925 | max=0.778090
LAYER 10 | mean=0.006974 | abs_mean=0.162676 | std=0.207934 | min=-1.120271 | max=0.746444
LAYER 11 | mean=0.006964 | abs_mean=0.163890 | std=0.209692 | min=-1.165687 | max=0.733797
LAYER 12 | mean=0.003354 | abs_mean=0.179982 | std=0.230134 | min=-1.130250 | max=1.106141
LAYER 13 | mean=0.003201 | abs_mean=0.182201 | std=0.232717 | min=-1.198580 | max=1.100728
LAYER 14 | mean=0.002693 | abs_mean=0.184110 | std=0.235496 | min=-1.162257 | max=1.087554
LAYER 15 | mean=0.003175 | abs_mean=0.186789 | std=0.238713 | min=-1.125705 | max=0.948149
LAYER 16 | mean=-0.003663 | abs_mean=0.220993 | std=0.283966 | min=-1.088323 | max=1.076959
LAYER 17 | mean=-0.003977 | abs_mean=0.231571 | std=0.296296 | min=-1.274137 | max=1.155423
LAYER 18 | mean=0.000072 | abs_mean=0.242019 | std=0.310050 | min=-1.350050 | max=1.467855
LAYER 19 | mean=-0.000808 | abs_mean=0.255695 | std=0.325900 | min=-1.378873 | max=1.559243
LAYER 20 | mean=-0.001092 | abs_mean=0.318398 | std=0.403128 | min=-1.596160 | max=1.706349
LAYER 21 | mean=-0.001500 | abs_mean=0.326180 | std=0.413983 | min=-1.625522 | max=2.008487
LAYER 22 | mean=-0.002438 | abs_mean=0.332290 | std=0.423883 | min=-1.646882 | max=2.280624
LAYER 23 | mean=-0.000551 | abs_mean=0.340988 | std=0.434475 | min=-1.810304 | max=1.967591
LAYER 24 | mean=0.000367 | abs_mean=0.374423 | std=0.475542 | min=-1.967946 | max=1.752040
LAYER 25 | mean=0.001554 | abs_mean=3.408357 | std=4.388807 | min=-18.668009 | max=17.477295
